Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:40:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:36        0      1424    4.33    1.77    0.00    0.00    6.10    35  node_exporter
11:40:36        0      1450    0.00    0.20    0.00    0.00    0.20     0  NetworkManager
11:40:36        0      2653    0.00    0.20    0.00    0.00    0.20     2  kiblnd_sd_00_01
11:40:36        0      2654    0.00    0.20    0.00    0.00    0.20     0  kiblnd_sd_00_02
11:40:36        0      2655    0.00    0.20    0.00    0.00    0.20     2  kiblnd_sd_00_03
11:40:36        0      2656    0.00    3.54    0.00    0.00    3.54    12  kiblnd_sd_01_00
11:40:36        0      2657    0.00    3.54    0.00    0.00    3.54    21  kiblnd_sd_01_01
11:40:36        0      2658    0.00    3.74    0.00    0.00    3.74    22  kiblnd_sd_01_02
11:40:36        0      2659    0.00    3.35    0.00    0.00    3.35    23  kiblnd_sd_01_03
11:40:36        0      2660    0.00    0.39    0.00    0.00    0.39    26  kiblnd_sd_02_00
11:40:36        0      2661    0.00    0.20    0.00    0.00    0.20    25  kiblnd_sd_02_01
11:40:36        0      2662    0.00    0.39    0.00    0.00    0.39    31  kiblnd_sd_02_02
11:40:36        0      2663    0.00    0.20    0.00    0.00    0.20    27  kiblnd_sd_02_03
11:40:36        0      2673    0.00    0.20    0.00    0.00    0.20     5  ptlrpcd_00_02
11:40:36        0      2678    0.00    0.20    0.00    0.00    0.20     5  ptlrpcd_00_07
11:40:36        0      2679    0.00    0.20    0.00    0.00    0.20     6  ptlrpcd_00_08
11:40:36        0      2680    0.00    0.20    0.00    0.00    0.20     5  ptlrpcd_00_09
11:40:36        0      2681    0.00    0.20    0.00    0.00    0.20     6  ptlrpcd_00_10
11:40:36        0      2682    0.00    0.20    0.00    0.00    0.20     4  ptlrpcd_00_11
11:40:36        0      2684    0.00    0.20    0.00    0.00    0.20    20  ptlrpcd_01_01
11:40:36        0      2686    0.00    0.20    0.00    0.00    0.20    21  ptlrpcd_01_03
11:40:36        0      2688    0.00    0.20    0.00    0.00    0.20    17  ptlrpcd_01_05
11:40:36        0      2691    0.00    0.20    0.00    0.00    0.20    20  ptlrpcd_01_08
11:40:36        0      2692    0.00    0.20    0.00    0.00    0.20    15  ptlrpcd_01_09
11:40:36        0      2693    0.00    0.20    0.00    0.00    0.20    23  ptlrpcd_01_10
11:40:36        0      2695    0.00    0.20    0.00    0.00    0.20    34  ptlrpcd_02_00
11:40:36        0      2696    0.00    0.20    0.00    0.00    0.20    25  ptlrpcd_02_01
11:40:36        0      2697    0.00    0.20    0.00    0.00    0.20    26  ptlrpcd_02_02
11:40:36        0      2698    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_03
11:40:36        0      2699    0.00    0.20    0.00    0.00    0.20    25  ptlrpcd_02_04
11:40:36        0      2700    0.00    0.20    0.00    0.00    0.20    28  ptlrpcd_02_05
11:40:36        0      2701    0.00    0.20    0.00    0.00    0.20    31  ptlrpcd_02_06
11:40:36        0      2702    0.00    0.20    0.00    0.00    0.20    28  ptlrpcd_02_07
11:40:36        0      2703    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_08
11:40:36        0      2704    0.00    0.20    0.00    0.00    0.20    29  ptlrpcd_02_09
11:40:36        0      2705    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_10
11:40:36        0      2706    0.00    0.20    0.00    0.00    0.20    34  ptlrpcd_02_11
