Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:48:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:48:56        0       331    0.00    0.20    0.00    0.00    0.20    32  kworker/32:1-events
11:48:56      201      1723    0.20    0.00    0.00    0.00    0.20    29  telegraf
11:48:56        0      2653    0.00    0.20    0.00    0.00    0.20     3  kiblnd_sd_00_01
11:48:56        0      2654    0.00    0.20    0.00    0.00    0.20    10  kiblnd_sd_00_02
11:48:56        0      2655    0.00    0.20    0.00    0.00    0.20    11  kiblnd_sd_00_03
11:48:56        0      2656    0.00    3.54    0.00    0.00    3.54    13  kiblnd_sd_01_00
11:48:56        0      2657    0.00    3.54    0.00    0.00    3.54    22  kiblnd_sd_01_01
11:48:56        0      2658    0.00    3.35    0.00    0.00    3.35    20  kiblnd_sd_01_02
11:48:56        0      2659    0.00    3.54    0.00    0.00    3.54    23  kiblnd_sd_01_03
11:48:56        0      2660    0.00    0.20    0.00    0.00    0.20    24  kiblnd_sd_02_00
11:48:56        0      2661    0.00    0.20    0.00    0.00    0.20    35  kiblnd_sd_02_01
11:48:56        0      2662    0.00    0.20    0.00    0.00    0.20    26  kiblnd_sd_02_02
11:48:56        0      2663    0.00    0.39    0.00    0.00    0.39    25  kiblnd_sd_02_03
11:48:56        0      2671    0.00    0.20    0.00    0.00    0.20     2  ptlrpcd_00_00
11:48:56        0      2675    0.00    0.20    0.00    0.00    0.20    11  ptlrpcd_00_04
11:48:56        0      2676    0.00    0.20    0.00    0.00    0.20     8  ptlrpcd_00_05
11:48:56        0      2677    0.00    0.20    0.00    0.00    0.20    10  ptlrpcd_00_06
11:48:56        0      2684    0.00    0.20    0.00    0.00    0.20    12  ptlrpcd_01_01
11:48:56        0      2685    0.00    0.20    0.00    0.00    0.20    14  ptlrpcd_01_02
11:48:56        0      2689    0.00    0.20    0.00    0.00    0.20    18  ptlrpcd_01_06
11:48:56        0      2690    0.00    0.20    0.00    0.00    0.20    19  ptlrpcd_01_07
11:48:56        0      2691    0.00    0.20    0.00    0.00    0.20    18  ptlrpcd_01_08
11:48:56        0      2692    0.00    0.20    0.00    0.00    0.20    19  ptlrpcd_01_09
11:48:56        0      2693    0.00    0.20    0.00    0.00    0.20    18  ptlrpcd_01_10
11:48:56        0      2695    0.00    0.20    0.00    0.00    0.20    25  ptlrpcd_02_00
11:48:56        0      2696    0.00    0.20    0.00    0.00    0.20    31  ptlrpcd_02_01
11:48:56        0      2697    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_02
11:48:56        0      2698    0.00    0.20    0.00    0.00    0.20    33  ptlrpcd_02_03
11:48:56        0      2699    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_04
11:48:56        0      2700    0.00    0.20    0.00    0.00    0.20    25  ptlrpcd_02_05
11:48:56        0      2703    0.00    0.20    0.00    0.00    0.20    31  ptlrpcd_02_08
11:48:56        0      2704    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_09
11:48:56        0      2705    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_10
11:48:56        0      2706    0.00    0.20    0.00    0.00    0.20    33  ptlrpcd_02_11
11:48:56        0      2707    0.00    0.20    0.00    0.00    0.20    46  ptlrpcd_03_00
11:48:56        0      2708    0.00    0.39    0.00    0.00    0.39    41  ptlrpcd_03_01
11:48:56        0      2709    0.00    0.39    0.00    0.00    0.39    47  ptlrpcd_03_02
11:48:56        0      2710    0.00    0.39    0.00    0.00    0.39    42  ptlrpcd_03_03
11:48:56        0      2711    0.00    0.39    0.00    0.00    0.39    42  ptlrpcd_03_04
11:48:56        0      2712    0.00    0.39    0.00    0.00    0.39    44  ptlrpcd_03_05
11:48:56        0      2713    0.00    0.39    0.00    0.00    0.39    41  ptlrpcd_03_06
11:48:56        0      2714    0.00    0.39    0.00    0.00    0.39    44  ptlrpcd_03_07
11:48:56        0      2715    0.00    0.39    0.00    0.00    0.39    45  ptlrpcd_03_08
11:48:56        0      2716    0.00    0.20    0.00    0.00    0.20    47  ptlrpcd_03_09
11:48:56        0      2717    0.00    0.20    0.00    0.00    0.20    46  ptlrpcd_03_10
11:48:56        0      2718    0.00    0.39    0.00    0.00    0.39    38  ptlrpcd_03_11
11:48:56        0      2739    0.00    0.20    0.00    0.00    0.20    43  ldlm_bl_01
11:48:56        0      2740    0.00    0.20    0.00    0.00    0.20    45  ldlm_bl_02
11:48:56        0      4018    0.00    0.20    0.00    0.00    0.20     9  ldlm_bl_03
11:48:56        0     10845    0.00    0.39    0.00    0.00    0.39    36  ldlm_bl_04
11:48:56        0     10846    0.00    0.20    0.00    0.00    0.20    31  ldlm_bl_05
11:48:56        0     10847    0.00    0.20    0.00    0.00    0.20    38  ldlm_bl_06
11:48:56        0     10848    0.00    0.20    0.00    0.00    0.20    24  ldlm_bl_07
11:48:56        0     10849    0.00    0.20    0.00    0.00    0.20    33  ldlm_bl_08
11:48:56        0     10850    0.00    0.20    0.00    0.00    0.20    45  ldlm_bl_09
11:48:56        0     10851    0.00    0.20    0.00    0.00    0.20    23  ldlm_bl_10
11:48:56        0     12870    0.00    0.20    0.00    0.00    0.20    35  ldlm_bl_11
11:48:56        0     12871    0.00    0.20    0.00    0.00    0.20    12  ldlm_bl_12
11:48:56        0     12872    0.00    0.20    0.00    0.00    0.20    38  ldlm_bl_13
11:48:56        0     12873    0.00    0.20    0.00    0.00    0.20    37  ldlm_bl_14
